,"Códigos
da 
CNAE
2.0","Divisões, grupos
e 
classes de atividades","Número
de
empresas
ativas","Ativo imobilizado Aquisições de terceiros e produção própria Número
de
informantes",Ativo imobilizado Aquisições de terceiros e produção própria Total 1 000 R$,"Ativo imobilizado Aquisições de terceiros e produção própria Terrenos
e
edificações 1 000 R$","Ativo imobilizado Aquisições de terceiros e produção própria Máquinas
e
equipamentos 1 000 R$","Ativo imobilizado Aquisições de terceiros e produção própria Meios
de
transporte 1 000 R$","Ativo imobilizado Aquisições de terceiros e produção própria Outras
aquisições 1 000 R$"
5,,Total das empresas,111931,26170,12811546,3527988,5648872,2423505,1211182
6,,Empresas de 1 a 4 pessoas ocupadas,52233,8790,793754,448899,184015,146532,14308
7,41,Construção de edifícios,18020,4987,505689,348545,44862,101941,10341
8,42,Obras de infraestrutura,4962,489,32689,2419,11731,16285,2254
9,43,Serviços especializados para construção,29251,3314,255376,97935,127422,28306,1713
10,,Empresas de 5 a 29 pessoas ocupadas,47002,11688,1703473,667114,676957,289106,70294
11,41,Construção de edifícios,18727,5837,760426,478813,112059,128074,41478
12,41.1,Incorporação e empreendimentos imobiliários,1376,400,136250,87463,34205,12460,2121
13,41.2,Construção de edifícios,17351,5437,624176,391350,77854,115614,39357
14,42,Obras de infraestrutura,4324,1086,346844,47607,239196,45867,14175
15,42.1,"Construção de rodovias, ferrovias, obras urbanas e obras de arte especiais",1911,398,228206,3495,203119,16571,5021
16,42.2,"Obras de infraestrutura para energia elétrica, telecomunicações, água, esgoto e transporte por dutos",902,258,46998,3740,19340,16116,7802
17,42.9,Construção de outras obras de infraestrutura,1511,430,71640,40372,16737,13180,1352
18,43,Serviços especializados para construção,23951,4765,596203,140694,325702,115165,14641
19,43.1,Demolição e preparação do terreno,2671,797,284149,72126,179882,27094,5046
20,43.2,"Instalações elétricas, hidráulicas e outras instalações em construções",7691,926,59937,1232,11056,45219,2431
21,43.3,Obras de acabamento,7555,1373,30668,207,16913,13204,344
22,43.9,Outros serviços especializados para construções,6034,1669,221449,67129,117851,29648,6820
23,,Empresas com 30 ou mais pessoas ocupadas,12696,5692,10314319,2411975,4787900,1987867,1126580
24,41,Construção de edifícios,6267,2814,3191929,1700731,675978,497713,317508
25,41.1,Incorporação e empreendimentos imobiliários,269,105,97996,51232,10119,9819,26827
26,41.10,Incorporação e empreendimentos imobiliários,269,105,97996,51232,10119,9819,26827
27,41.2,Construção de edifícios,5998,2709,3093933,1649499,665859,487894,290681
28,41.20,Construção de edifícios,5998,2709,3093933,1649499,665859,487894,290681
29,42,Obras de infraestrutura,2445,1393,5378622,485828,3049207,1127260,716327
30,42.1,"Construção de rodovias, ferrovias, obras urbanas e obras de arte especiais",982,609,3301763,260816,2030404,735201,275342
31,42.11,Construção de rodovias e ferrovias,635,411,1904111,170258,1161243,398387,174224
32,42.12,Construção de obras de arte especiais,77,46,1198886,56942,758412,291406,92126
33,42.13,"Obras de urbanização - ruas, praças e calçadas",270,152,198766,33616,110749,45408,8992
34,42.2,"Obras de infraestrutura para energia elétrica, telecomunicações, água, esgoto e transporte por dutos",679,394,952373,82505,455020,185987,228861
35,42.21,Obras para geração e distribuição de energia elétrica e para telecomunicações,434,245,741258,53159,345149,136298,206652
36,42.22,"Construção de redes de abastecimento de água, coleta de esgoto e construções correlatas",213,130,169417,25470,90003,42826,11118
37,42.23,"Construção de redes de transportes por dutos, exceto para água e esgoto",32,19,41698,3876,19868,6863,11091
38,42.9,Construção de outras obras de infraestrutura,784,390,1124486,142507,563783,206072,212124
39,42.91,"Obras portuárias, marítimas e fluviais",27,20,120862,184,79394,37855,3430
40,42.92,Montagem de instalações industriais e de estruturas metálicas,246,121,605775,66907,330365,91466,117036
41,42.99,Obras de engenharia civil não especificadas anteriormente,511,249,397849,75416,154024,76751,91658
42,43,Serviços especializados para construção,3984,1485,1743768,225416,1062715,362894,92745
43,43.1,Demolição e preparação do terreno,558,284,853980,52244,641579,130819,29337
44,43.11,Demolição e preparação de canteiros de obras,49,21,143895,4116,123602,10704,5472
45,43.12,Perfurações e sondagens,60,31,42661,1694,31897,5423,3646
46,43.13,Obras de terraplenagem,419,215,651265,45525,475715,110171,19855
47,43.19,Serviços de preparação do terreno não especificados anteriormente,30,17,16159,909,10365,4521,364
48,43.2,"Instalações elétricas, hidráulicas e outras instalações em construções",1174,484,212499,35229,55579,92974,28719
49,43.21,Instalações elétricas,643,254,112674,12563,20874,63523,15715
50,43.22,"Instalações hidráulicas, de sistemas de ventilação e refrigeração",376,161,36372,4304,11319,15165,5584
51,43.29,Obras de instalações em construções não especificadas anteriormente,155,69,63453,18362,23386,14286,7420
52,43.3,Obras de acabamento,835,207,74099,24713,28135,16098,5153
53,43.30,Obras de acabamento,835,207,74099,24713,28135,16098,5153
54,43.9,Outros serviços especializados para construção,1417,510,603190,113230,337422,123003,29536
55,43.91,Obras de fundações,261,112,174440,6926,148247,12559,6708
56,43.99,Serviços especializados para construção não especificados anteriormente,1156,398,428750,106304,189175,110444,22828
