,"Códigos
da
CNAE
2.0","Divisões, grupos
e
classes de atividades","Salários, retiradas e outras remunerações  Total 1 000 R$","Salários, retiradas e outras remunerações  Pessoal assalariado Ligado 
à construção 1 000 R$","Salários, retiradas e outras remunerações  Pessoal assalariado Não ligado 
à construção 1 000 R$","Salários, retiradas e outras remunerações  Pessoal não assalariado Proprietários 
e sócios (1) 1 000 R$"
5,,Total das empresas,67401299,57161517,7755650,2484131
6,,Empresas de 1 a 4 pessoas ocupadas,2637119,1943984,141697,551438
7,41,Construção de edifícios,1154976,913059,86017,155900
8,42,Obras de infraestrutura,280905,193516,13652,73737
9,43,Serviços especializados para construção,1201238,837409,42028,321801
10,,Empresas de 5 a 29 pessoas ocupadas,9614185,8198040,633980,782165
11,41,Construção de edifícios,3976407,3397939,268072,310396
12,41.1,Incorporação e empreendimentos imobiliários,220612,116197,28041,76374
13,41.2,Construção de edifícios,3755795,3281742,240031,234022
14,42,Obras de infraestrutura,1015172,861331,85173,68668
15,42.1,"Construção de rodovias, ferrovias, obras urbanas e obras de arte especiais",301657,249433,26863,25361
16,42.2,"Obras de infraestrutura para energia elétrica, telecomunicações, água, esgoto e transporte por dutos",230168,182363,25051,22753
17,42.9,Construção de outras obras de infraestrutura,483347,429535,33259,20554
18,43,Serviços especializados para construção,4622606,3938770,280735,403101
19,43.1,Demolição e preparação do terreno,587392,497492,40216,49684
20,43.2,"Instalações elétricas, hidráulicas e outras instalações em construções",1357598,1130940,66533,160125
21,43.3,Obras de acabamento,1264244,1107264,53368,103612
22,43.9,Outros serviços especializados para construções,1413372,1203074,120618,89680
23,,Empresas com 30 ou mais pessoas ocupadas,55149995,47019493,6979973,1150528
24,41,Construção de edifícios,18176981,15566577,2099712,510691
25,41.1,Incorporação e empreendimentos imobiliários,632786,530220,68077,34488
26,41.10,Incorporação e empreendimentos imobiliários,632786,530220,68077,34488
27,41.2,Construção de edifícios,17544195,15036357,2031635,476203
28,41.20,Construção de edifícios,17544195,15036357,2031635,476203
29,42,Obras de infraestrutura,27729145,23526144,3863022,339980
30,42.1,"Construção de rodovias, ferrovias, obras urbanas e obras de arte especiais",9692149,8043034,1504715,144399
31,42.11,Construção de rodovias e ferrovias,7067935,5920413,1041457,106064
32,42.12,Construção de obras de arte especiais,1795533,1437679,343542,14312
33,42.13,"Obras de urbanização - ruas, praças e calçadas",828681,684942,119716,24023
34,42.2,"Obras de infraestrutura para energia elétrica, telecomunicações, água, esgoto e transporte por dutos",7952031,6873700,982633,95699
35,42.21,Obras para geração e distribuição de energia elétrica e para telecomunicações,6353398,5479031,813627,60740
36,42.22,"Construção de redes de abastecimento de água, coleta de esgoto e construções correlatas",913553,793769,91668,28116
37,42.23,"Construção de redes de transportes por dutos, exceto para água e esgoto",685080,600900,77338,6843
38,42.9,Construção de outras obras de infraestrutura,10084965,8609410,1375674,99882
39,42.91,"Obras portuárias, marítimas e fluviais",289361,185646,98513,5202
40,42.92,Montagem de instalações industriais e de estruturas metálicas,6446146,5606687,813651,25809
41,42.99,Obras de engenharia civil não especificadas anteriormente,3349458,2817077,463510,68871
42,43,Serviços especializados para construção,9243869,7926772,1017239,299857
43,43.1,Demolição e preparação do terreno,1900004,1652342,199142,48520
44,43.11,Demolição e preparação de canteiros de obras,173282,147025,24142,2115
45,43.12,Perfurações e sondagens,173659,138063,29430,6166
46,43.13,Obras de terraplenagem,1500168,1326932,133831,39404
47,43.19,Serviços de preparação do terreno não especificados anteriormente,52895,40322,11739,835
48,43.2,"Instalações elétricas, hidráulicas e outras instalações em construções",3096079,2665492,349248,81338
49,43.21,Instalações elétricas,1760583,1561764,161661,37157
50,43.22,"Instalações hidráulicas, de sistemas de ventilação e refrigeração",905863,749027,127253,29583
51,43.29,Obras de instalações em construções não especificadas anteriormente,429633,354701,60334,14598
52,43.3,Obras de acabamento,1153706,1010167,63919,79620
53,43.30,Obras de acabamento,1153706,1010167,63919,79620
54,43.9,Outros serviços especializados para construção,3094080,2598771,404930,90379
55,43.91,Obras de fundações,741486,615027,106278,20180
56,43.99,Serviços especializados para construção não especificados anteriormente,2352594,1983744,298652,70199
