,"Código
PRODLIST
Construção","Classes de atividades
e
descrição de produtos","Valor das incorporações, 
obras e/ou serviços
da construção
(1 000 R$)","Como contratante única ou principal Número
de
informantes","Como contratante única ou principal Valor
(1 000 R$)","Como subcontratada Número
de
informantes","Como subcontratada Valor
(1 000 R$)"
4,4110,Incorporação de empreendimentos imobiliários,7133980,550,7133980,-,-
5,4110.2010,Incorporação de empreendimentos imobiliários executados por terceiros,7133980,550,7133980,-,-
6,4120,Construção de edifícios,112535610,6147,105441219,788,7094393
7,4120.2010,"Edifícios comerciais (shoppings, supermercados, lojas, etc)",7970690,501,6717820,82,1252870
8,4120.2020 ,"Edifícios industriais (fábricas, oficinas, galpões industriais, etc)",6439147,209,6062456,35,376691
9,4120.2030 ,"Edifícios não residenciais não especificados anteriormente (hospitais, escolas, hotéis, garagens, estádios, etc.)",10110937,607,9736065,42,374872
10,4120.2040,Edifícios residenciais,61271807,2947,58411418,326,2860390
11,4120.2050 ,"Estações de embarque e desembarque (rodoviárias, aeroportos, portos, estações de metrô e trens, etc.)",2428598,19,2413827,1,14771
12,4120.9010 ,Serviços de montagem de edifícios não residenciais pré-fabricados,547800,16,498684,6,49116
13,4120.9020 ,Serviços de montagem de edifícios residenciais pré-fabricados,281434,31,268240,7,13195
14,4120.9030 ,Serviços de reforma ou manutenção de edifícios não residenciais,8449675,646,7394136,77,1055539
15,4120.9040 ,Serviços de reforma ou manutenção de edifícios residenciais,15035522,1171,13938573,212,1096949
16,4211,Construção de rodovias e ferrovias,42305553,767,40690359,102,1615194
17,4211.2010 ,"Instalação de sinalização não elétrica em rodovias, ferrovias e pistas de aeroportos",568051,37,494205,9,73846
18,4211.2020 ,"Pavimentação de rodovias, autoestradas e outras vias não urbanas",15190233,361,14669826,45,520407
19,4211.2030 ,Pistas de aeroportos,726482,8,726482,-,-
20,4211.2040 ,"Rodovias, autoestradas e outras vias não urbanas",9458958,131,8831325,22,627634
21,4211.2050 ,Vias férreas e metropolitanos,7607807,39,7385162,5,222644
22,4211.9010 ,Serviços de recuperação ou reforma de ferrovias,451276,16,445859,1,5417
23,4211.9020 ,Serviços de recuperação ou reforma de pistas de aeroportos,59724,4,59724,-,-
24,4211.9030 ,Serviços de recuperação ou reforma de rodovias,8243022,171,8077776,20,165246
25,4212,Construção de obras de arte especiais,5319036,111,5135024,22,184013
26,4212.2010 ,"Pontes, elevados, túneis e outras obras de arte especiais",4024218,76,3864095,15,160124
27,4212.9010 ,"Seviços de recuperação ou reforma de pontes, elevados, túneis e outras obras de arte especiais",1294818,35,1270929,7,23889
28,4213,"Obras de urbanização - ruas, praças e calçadas",6178438,438,5901694,46,276744
29,4213.2010 ,Instalação de sinalização não elétrica em vias urbanas,23433,10,23433,-,-
30,4213.2020 ,"Ruas, praças, calçadas e outras obras de urbanização",3655131,256,3510961,31,144170
31,4213.9010 ,"Serviços de recuperação de ruas, praças, calçadas e outras obras de urbanização",2499874,172,2367300,15,132574
32,4221,Obras para geração e distribuição de energia elétrica e para telecomunicações,22301071,432,20131891,80,2169181
33,4221.2010,Barragens ou represas para geração de energia elétrica,4703314,17,4249598,4,453716
34,4221.2020 ,Redes de transmissão e distribuição de energia elétrica,3466321,122,3058010,24,408311
35,4221.2030 ,"Redes e instalação de torres de telecomunicações, de longa ou média distâncias",4140947,39,4100053,6,40894
36,4221.2040 ,"Usinas, estações e subestações hidrelétricas, termelétricas, nucleares e eólicas",4410149,28,4391045,5,19104
37,4221.9010 ,"Serviços de manutenção de barragens, represas, usinas e outras obras para geração de energia elétrica",556161,12,179619,4,376542
38,4221.9020 ,Serviços de manutenção de redes e torres de telecomunicações,2148277,57,1681794,13,466483
39,4221.9030 ,Serviços de manutenção de redes de transmissão e distribuição de energia elétrica,2875902,157,2471772,24,404131
