,"Códigos
da 
CNAE
2.0","Divisões, grupos
e 
classes de atividades","Ativo imobilizado Melhorias Número
de
informantes",Ativo imobilizado Melhorias Total 1 000 R$,"Ativo imobilizado Melhorias Terrenos
e
edificações 1 000 R$","Ativo imobilizado Melhorias Máquinas
e
equipamentos 1 000 R$","Ativo imobilizado Melhorias Meios
de
transporte 1 000 R$","Ativo imobilizado Melhorias Outras
aquisições 1 000 R$"
4,,Total das empresas,1107,580383,327906,126743,95193,30546
5,,Empresas de 1 a 4 pessoas ocupadas,122,4522,3028,1423,52,19
6,41,Construção de edifícios,58,3996,2540,1407,49,-
7,42,Obras de infraestrutura,7,485,481,4,-,-
8,43,Serviços especializados para construção,57,41,7,12,3,19
9,,Empresas de 5 a 29 pessoas ocupadas,672,175863,114915,13898,41743,5312
10,41,Construção de edifícios,334,100719,94922,4438,28,1332
11,41.1,Incorporação e empreendimentos imobiliários,11,16655,16655,-,-,-
12,41.2,Construção de edifícios,323,84064,78267,4438,28,1332
13,42,Obras de infraestrutura,86,34783,3228,7794,23750,12
14,42.1,"Construção de rodovias, ferrovias, obras urbanas e obras de arte especiais",51,34054,2522,7779,23745,8
15,42.2,"Obras de infraestrutura para energia elétrica, telecomunicações, água, esgoto e transporte por dutos",26,504,489,6,5,4
16,42.9,Construção de outras obras de infraestrutura,9,225,217,9,-,-
17,43,Serviços especializados para construção,252,40361,16765,1666,17965,3968
18,43.1,Demolição e preparação do terreno,26,156,30,25,63,39
19,43.2,"Instalações elétricas, hidráulicas e outras instalações em construções",105,7116,265,844,3910,2098
20,43.3,Obras de acabamento,-,-,-,-,-,-
21,43.9,Outros serviços especializados para construções,121,33089,16470,797,13992,1831
22,,Empresas com 30 ou mais pessoas ocupadas,313,399998,209963,111422,53398,25215
23,41,Construção de edifícios,149,103122,55565,3820,37100,6637
24,41.1,Incorporação e empreendimentos imobiliários,6,1735,1476,63,184,12
25,41.10,Incorporação e empreendimentos imobiliários,6,1735,1476,63,184,12
26,41.2,Construção de edifícios,143,101387,54089,3757,36916,6625
27,41.20,Construção de edifícios,143,101387,54089,3757,36916,6625
28,42,Obras de infraestrutura,88,267678,131364,105833,13961,16522
29,42.1,"Construção de rodovias, ferrovias, obras urbanas e obras de arte especiais",41,175576,83189,88968,2985,435
30,42.11,Construção de rodovias e ferrovias,29,19073,4765,11558,2509,241
31,42.12,Construção de obras de arte especiais,3,6293,6293,-,-,-
32,42.13,"Obras de urbanização - ruas, praças e calçadas",9,150210,72131,77410,476,194
33,42.2,"Obras de infraestrutura para energia elétrica, telecomunicações, água, esgoto e transporte por dutos",20,59130,27019,7281,9349,15482
34,42.21,Obras para geração e distribuição de energia elétrica e para telecomunicações,17,57723,26428,7215,8606,15475
35,42.22,"Construção de redes de abastecimento de água, coleta de esgoto e construções correlatas",3,1407,591,66,743,7
36,42.23,"Construção de redes de transportes por dutos, exceto para água e esgoto",-,-,-,-,-,-
37,42.9,Construção de outras obras de infraestrutura,27,32972,21156,9584,1627,605
38,42.91,"Obras portuárias, marítimas e fluviais",1,34,-,34,-,-
39,42.92,Montagem de instalações industriais e de estruturas metálicas,11,12988,11725,183,780,299
40,42.99,Obras de engenharia civil não especificadas anteriormente,15,19950,9431,9367,847,306
41,43,Serviços especializados para construção,76,29198,23034,1769,2337,2056
42,43.1,Demolição e preparação do terreno,11,6824,6137,488,97,102
43,43.11,Demolição e preparação de canteiros de obras,-,-,-,-,-,-
44,43.12,Perfurações e sondagens,1,466,-,373,-,93
45,43.13,Obras de terraplenagem,8,6023,5937,77,-,9
46,43.19,Serviços de preparação do terreno não especificados anteriormente,2,335,200,38,97,-
47,43.2,"Instalações elétricas, hidráulicas e outras instalações em construções",30,4658,2915,390,1122,230
48,43.21,Instalações elétricas,18,2649,1726,325,452,145
49,43.22,"Instalações hidráulicas, de sistemas de ventilação e refrigeração",10,1975,1189,65,645,76
50,43.29,Obras de instalações em construções não especificadas anteriormente,2,34,-,-,25,9
51,43.3,Obras de acabamento,11,1837,129,8,44,1656
52,43.30,Obras de acabamento,11,1837,129,8,44,1656
53,43.9,Outros serviços especializados para construção,24,15879,13853,883,1074,68
54,43.91,Obras de fundações,3,995,241,741,12,-
55,43.99,Serviços especializados para construção não especificados anteriormente,21,14884,13612,142,1062,68
