,"Código
PRODLIST
Construção","Classes de atividades 
e
descrição de produtos","Valor das incorporações, 
obras e/ou serviços
da construção
(1 000 R$)","Como contratante única ou principal Número
de
informantes","Como contratante única ou principal Valor
(1 000 R$)","Como subcontratada Número
de
informantes","Como subcontratada Valor
(1 000 R$)"
3,4321,Instalações elétricas,6867535,606,5618468,141,1249068
4,4321.2010 ,Instalações elétricas,3625255,281,2769084,79,856171
5,4321.2020 ,Instalações de telecomunicações,721000,90,630725,13,90276
6,4321.9010 ,Serviços de manutenção e reparação de instalações elétricas,2019201,181,1749610,34,269591
7,4321.9020 ,Serviços de manutenção e reparação de instalações de telecomunicações,502079,54,469049,15,33030
8,4322,"Instalações hidráulicas, de sistemas de ventilação e refrigeração",4214016,358,3544899,86,669118
9,4322.2010 ,"Instalações de sistemas de ar condicionado, ventilação, refrigeração ou aquecimento",1603849,96,1408106,21,195744
10,4322.2020 ,"Instalações hidráulicas, sanitárias ou de gás",825933,104,669169,40,156764
11,4322.9010 ,"Serviços de manutenção e reparação de sistemas de ventilação, refrigeração, aquecimento; de instalações hidráulicas e de gás",1784234,158,1467624,25,316610
12,4329,Obras de instalações em construções não especificadas anteriormente,2012290,162,1763654,28,248637
13,4329.2010 ,"Instalação de elevadores, escadas ou de esteiras rolantes",197331,36,181706,4,15626
14,4329.2020 ,Instalação de isolamentos térmicos e acústicos,635475,34,549964,6,85511
15,4329.2030 ,"Instalação de sistema de iluminação ou de sinalização elétrica em vias públicas, rodovias, portos ou aeroportos",420843,28,384468,3,36375
16,4329.2040 ,"Instalações em construções, não especificadas anteriormente",758641,64,647516,15,111125
17,4330,Obras de acabamento,4060878,734,3239808,250,821072
18,4330.2010 ,Acabamento em gesso ou estuque,372490,102,276083,45,96408
19,4330.2020 ,"Impermeabilização em paredes, caixas d'água, etc.",627579,82,491926,18,135653
20,4330.2030 ,Instalação de cozinhas e outros mobiliários incorporados à construção,2579,2,2579,-,-
21,4330.2040,"Instalação de esquadrias de metal, madeira ou outros materiais",139158,33,115202,9,23956
22,4330.2050 ,Pintura (interna ou externa),910375,157,590767,52,319608
23,4330.2060 ,"Revestimento de pisos e paredes, exceto pintura",261648,64,213574,22,48075
24,4330.2070 ,Trabalhos de madeira em interiores,93059,35,75526,7,17533
25,4330.2080 ,Outros serviços de acabamento não especificados anteriormente,1653990,259,1474151,97,179839
26,4391,Obras de fundações,3517480,253,2558076,82,959404
27,4391.2010 ,Fundações,3353213,226,2410528,79,942685
28,4391.9010 ,Serviços de aluguel e operação de equipamentos para execução de fundações,164267,27,147548,3,16719
29,4399,Serviços especializados para construção não especificados anteriormente,11717415,1135,10275035,287,1442381
30,4399.2010 ,Administração de obras,4180215,341,3772537,73,407678
31,4399.2020 ,Alvenaria,2067138,352,1614521,128,452617
32,4399.2030 ,Poços de água,355374,33,352761,1,2613
33,4399.2040 ,"Montagem e desmontagem de escoramentos, andaimes, arquibancadas e outras estruturas temporárias",898593,87,769691,21,128902
34,4399.2050 ,"Telhados, coberturas, caixas d'água, churrasqueiras e outras partes de edifícios",157199,39,129674,5,27525
35,4399.2060 ,Outros serviços especializados de construção não especificados anteriormente,3414475,218,3065508,48,348967
36,4399.9010 ,Serviços de aluguél e operação de equipamento para transporte e elevação de cargas e pessoas para uso em obras,644421,65,570343,11,74079
