,"Códigos
da 
CNAE
2.0","Divisões,  grupos 
e 
classes de atividades","Número
de
empresas ativas",Consumo de materiais de construção Total 1 000 R$,Consumo de materiais de construção Tipos selecionados  Total 1 000 R$,Consumo de materiais de construção Tipos selecionados  Asfalto 1 000 R$,Consumo de materiais de construção Tipos selecionados  Cimento 1 000 R$,Consumo de materiais de construção Tipos selecionados  Concreto 1 000 R$,Consumo de materiais de construção Tipos selecionados  Tijolos 1 000 R$,Consumo de materiais de construção Tipos selecionados  Vergalhões 1 000 R$
4,,Total das empresas,111931,74760025,22018227,2749426,5929006,6283100,2791404,4265284
5,,Empresas de 1 a 4 pessoas ocupadas,52233,2491430,680861,39597,245652,153672,132864,109075
6,41,Construção de edifícios,18020,1720531,616560,22492,226386,147594,121150,98938
7,42,Obras de infraestrutura,4962,217003,27371,7595,5993,2704,5109,5970
8,43,Serviços especializados para construção,29251,553896,36930,9510,13273,3374,6605,4167
9,,Empresas de 5 a 29 pessoas ocupadas,47002,9916818,2667171,139331,753147,634097,608439,532156
10,41,Construção de edifícios,18727,6637494,2014223,40673,537392,519840,490669,425649
11,41.1,Incorporação e empreendimentos imobiliários,1376,6256,2436,136,279,533,706,781
12,41.2,Construção de edifícios,17351,6631238,2011787,40537,537113,519307,489963,424868
13,42,Obras de infraestrutura,4324,894679,277285,86444,69408,46468,28177,46787
14,42.1,"Construção de rodovias, ferrovias, obras urbanas e obras de arte especiais",1911,381418,147018,81555,24214,15508,9135,16606
15,42.2,"Obras de infraestrutura para energia elétrica, telecomunicações, água, esgoto e transporte por dutos",902,150982,27028,520,5936,12966,970,6636
16,42.9,Construção de outras obras de infraestrutura,1511,362279,103239,4369,39258,17994,18072,23545
17,43,Serviços especializados para construção,23951,2384645,375663,12214,146347,67789,89593,59720
18,43.1,Demolição e preparação do terreno,2671,155599,35731,7730,8003,15631,2155,2212
19,43.2,"Instalações elétricas, hidráulicas e outras instalações em construções",7691,674538,10927,1058,2859,1910,3009,2091
20,43.3,Obras de acabamento,7555,464224,1654,220,555,75,541,263
21,43.9,Outros serviços especializados para construções,6034,1090284,327351,3206,134930,50173,83888,55154
22,,Empresas com 30 ou mais pessoas ocupadas,12696,62351777,18670195,2570498,4930207,5495331,2050101,3624053
23,41,Construção de edifícios,6267,30431841,11162692,514759,3056538,3879667,1728481,1983247
24,41.1,Incorporação e empreendimentos imobiliários,269,83627,23554,386,4909,9021,2904,6334
25,41.10,Incorporação e empreendimentos imobiliários,269,83627,23554,386,4909,9021,2904,6334
26,41.2,Construção de edifícios,5998,30348214,11139138,514373,3051629,3870646,1725577,1976913
27,41.20,Construção de edifícios,5998,30348214,11139138,514373,3051629,3870646,1725577,1976913
28,42,Obras de infraestrutura,2445,25103224,6401664,1925940,1510088,1293366,209677,1462589
29,42.1,"Construção de rodovias, ferrovias, obras urbanas e obras de arte especiais",982,11810989,4117773,1686528,779829,853243,112777,685395
30,42.11,Construção de rodovias e ferrovias,635,9299744,3342766,1449324,614890,657210,85550,535791
31,42.12,Construção de obras de arte especiais,77,1442009,444792,73941,93634,145020,7385,124812
32,42.13,"Obras de urbanização - ruas, praças e calçadas",270,1069236,330215,163263,71305,51013,19842,24792
33,42.2,"Obras de infraestrutura para energia elétrica, telecomunicações, água, esgoto e transporte por dutos",679,5061750,806189,89603,273669,197511,35814,209590
34,42.21,Obras para geração e distribuição de energia elétrica e para telecomunicações,434,3238286,413484,23976,184763,83627,7758,113360
35,42.22,"Construção de redes de abastecimento de água, coleta de esgoto e construções correlatas",213,1344415,319834,60597,78541,95765,26476,58454
36,42.23,"Construção de redes de transportes por dutos, exceto para água e esgoto",32,479049,72871,5030,10365,18119,1580,37776
37,42.9,Construção de outras obras de infraestrutura,784,8230485,1477702,149809,456590,242612,61086,567604
38,42.91,"Obras portuárias, marítimas e fluviais",27,458575,162144,5302,33372,89407,2445,31618
39,42.92,Montagem de instalações industriais e de estruturas metálicas,246,4672342,636822,1555,168956,20592,6083,439636
40,42.99,Obras de engenharia civil não especificadas anteriormente,511,3099568,678736,142952,254262,132613,52558,96350
41,43,Serviços especializados para construção,3984,6816712,1105839,129799,363581,322298,111943,178217
42,43.1,Demolição e preparação do terreno,558,1386907,310592,94117,66548,93362,22284,34279
43,43.11,Demolição e preparação de canteiros de obras,49,284125,3286,1362,1202,143,465,114
44,43.12,Perfurações e sondagens,60,100703,600,6,220,35,121,217
45,43.13,Obras de terraplenagem,419,967201,296792,88666,63396,90478,21637,32615
46,43.19,Serviços de preparação do terreno não especificados anteriormente,30,34878,9914,4083,1730,2706,61,1333
47,43.2,"Instalações elétricas, hidráulicas e outras instalações em construções",1174,2073989,100441,5989,29951,24484,21776,18242
48,43.21,Instalações elétricas,643,1146967,76548,1494,22156,18105,19768,15025
49,43.22,"Instalações hidráulicas, de sistemas de ventilação e refrigeração",376,612700,9207,1322,2609,3366,909,1002
50,43.29,Obras de instalações em construções não especificadas anteriormente,155,314322,14686,3173,5186,3013,1099,2215
51,43.3,Obras de acabamento,835,829865,77063,14608,19831,18602,9791,14230
52,43.30,Obras de acabamento,835,829865,77063,14608,19831,18602,9791,14230
53,43.9,Outros serviços especializados para construção,1417,2525951,617743,15085,247251,185850,58092,111466
54,43.91,Obras de fundações,261,486204,93535,2115,32903,15024,8493,35000
55,43.99,Serviços especializados para construção não especificados anteriormente,1156,2039747,524208,12970,214348,170826,49599,76466
