,"Códigos
da 
CNAE 2.0","Divisões, grupos
 e classes de atividades
","Número de
empresas ativas","Pessoal
ocupado
em 31.12","Salários, retiradas
e outras
remunerações 1 000 R$","Valor das incorporações, obras e/ou serviços
da construção 1 000 R$"
3,,Total das empresas,111931,2961190,67401299,357722401
4,,Empresas de 1 a 4 pessoas ocupadas,52233,186542,2637119,18244374
5,41,Construção de edifícios,18020,78613,1154976,10880633
6,42,Obras de infraestrutura,4962,18991,280905,1617597
7,43,Serviços especializados para construção,29251,88938,1201238,5746144
8,,Empresas de 5 a 29 pessoas ocupadas,47002,636615,9614185,47011148
9,41,Construção de edifícios,18727,290389,3976407,24676047
10,41.1,Incorporação e empreendimentos imobiliários,1376,11780,220612,2231298
11,41.2,Construção de edifícios,17351,278609,3755795,22444749
12,42,Obras de infraestrutura,4324,62440,1015172,5559556
13,42.1,"Construção de rodovias, ferrovias, obras urbanas e obras de arte especiais",1911,20246,301657,1849857
14,42.2,"Obras de infraestrutura para energia elétrica, telecomunicações, água, esgoto e transporte por dutos",902,13714,230168,1167246
15,42.9,Construção de outras obras de infraestrutura,1511,28480,483347,2542453
16,43,Serviços especializados para construção,23951,283786,4622606,16775545
17,43.1,Demolição e preparação do terreno,2671,32357,587392,2209609
18,43.2,"Instalações elétricas, hidráulicas e outras instalações em construções",7691,88869,1357598,5105874
19,43.3,Obras de acabamento,7555,75046,1264244,3245282
20,43.9,Outros serviços especializados para construções,6034,87514,1413372,6214780
21,,Empresas com 30 ou mais pessoas ocupadas,12696,2138033,55149995,292466879
22,41,Construção de edifícios,6267,849769,18176981,117682583
23,41.1,Incorporação e empreendimentos imobiliários,269,18338,632786,6603775
24,41.10,Incorporação e empreendimentos imobiliários,269,18338,632786,6603775
25,41.2,Construção de edifícios,5998,831431,17544195,111078808
26,41.20,Construção de edifícios,5998,831431,17544195,111078808
27,42,Obras de infraestrutura,2445,864118,27729145,133787135
28,42.1,"Construção de rodovias, ferrovias, obras urbanas e obras de arte especiais",982,340646,9692149,57633552
29,42.11,Construção de rodovias e ferrovias,635,246424,7067935,44633848
30,42.12,Construção de obras de arte especiais,77,52217,1795533,8581212
31,42.13,"Obras de urbanização - ruas, praças e calçadas",270,42005,828681,4418492
32,42.2,"Obras de infraestrutura para energia elétrica, telecomunicações, água, esgoto e transporte por dutos",679,250294,7952031,33490808
33,42.21,Obras para geração e distribuição de energia elétrica e para telecomunicações,434,187670,6353398,24462780
34,42.22,"Construção de redes de abastecimento de água, coleta de esgoto e construções correlatas",213,45392,913553,5384426
35,42.23,"Construção de redes de transportes por dutos, exceto para água e esgoto",32,17232,685080,3643602
36,42.9,Construção de outras obras de infraestrutura,784,273178,10084965,42662775
37,42.91,"Obras portuárias, marítimas e fluviais",27,8514,289361,3364097
38,42.92,Montagem de instalações industriais e de estruturas metálicas,246,157377,6446146,24224550
39,42.99,Obras de engenharia civil não especificadas anteriormente,511,107287,3349458,15074128
40,43,Serviços especializados para construção,3984,424146,9243869,40997161
41,43.1,Demolição e preparação do terreno,558,73634,1900004,10552278
42,43.11,Demolição e preparação de canteiros de obras,49,7445,173282,1255835
43,43.12,Perfurações e sondagens,60,6337,173659,762292
44,43.13,Obras de terraplenagem,419,56865,1500168,8237828
45,43.19,Serviços de preparação do terreno não especificados anteriormente,30,2987,52895,296323
46,43.2,"Instalações elétricas, hidráulicas e outras instalações em construções",1174,137518,3096079,12654201
47,43.21,Instalações elétricas,643,78311,1760583,6865954
48,43.22,"Instalações hidráulicas, de sistemas de ventilação e refrigeração",376,42415,905863,3938604
49,43.29,Obras de instalações em construções não especificadas anteriormente,155,16792,429633,1849643
50,43.3,Obras de acabamento,835,65742,1153706,3954341
51,43.30,Obras de acabamento,835,65742,1153706,3954341
52,43.9,Outros serviços especializados para construção,1417,147252,3094080,13836341
53,43.91,Obras de fundações,261,32543,741486,3489702
54,43.99,Serviços especializados para construção não especificados anteriormente,1156,114709,2352594,10346639
