,"Códigos
da
CNAE
2.0","Divisões, grupos
e
classes de atividades","Número
de
empresas
ativas","Pessoal ocupado Em
31.12","Pessoal ocupado Número
médio
no ano","Pessoal ocupado Assalariado Ligado à
construção","Pessoal ocupado Assalariado Não ligado à
construção","Pessoal ocupado Não assalariado Proprietários
e sócios (1)"
4,,Total das empresas,131487,2439429,2616384,2077154,212779,148331
5,,Empresas de 1 a 4 pessoas ocupadas,67059,181085,199896,101461,11350,68264
6,41,Construção de edifícios,23758,70074,79504,41806,3895,24365
7,42,Obras de infraestrutura,4625,12679,14880,7172,542,4961
8,43,Serviços especializados para construção,38676,98332,105512,52483,6913,38938
9,,Empresas de 5 a 29 pessoas ocupadas,51331,552822,562925,455271,37074,60558
10,41,Construção de edifícios,21371,236532,248060,195199,16680,24683
11,41.1,Incorporação e empreendimentos imobiliários,1606,13439,12984,9828,1884,1731
12,41.2,Construção de edifícios,19765,223093,235076,185371,14796,22952
13,42,Obras de infraestrutura,4619,51791,52338,41562,4841,5418
14,42.1,"Construção de rodovias, ferrovias, obras urbanas e obras de arte especiais",1506,17157,17702,13537,1838,1796
15,42.2,"Obras de infraestrutura para energia elétrica, telecomunicações, água, esgoto e transporte por dutos",1139,14657,14376,12229,1096,1347
16,42.9,Construção de outras obras de infraestrutura,1974,19977,20260,15796,1907,2275
17,43,Serviços especializados para construção,25341,264499,262527,218510,15553,30457
18,43.1,Demolição e preparação do terreno,2707,27817,28889,22068,2388,3353
19,43.2,"Instalações elétricas, hidráulicas e outras instalações em construções",8205,82466,80682,67527,4305,10659
20,43.3,Obras de acabamento,6855,66069,66292,55290,3709,7075
21,43.9,Outros serviços especializados para construções,7574,88147,86664,73625,5151,9370
22,,Empresas com 30 ou mais pessoas ocupadas,13097,1705522,1853563,1520422,164355,19509
23,41,Construção de edifícios,6623,672476,741022,602039,60142,9579
24,41.1,Incorporação e empreendimentos imobiliários,294,14855,16512,12678,1864,303
25,41.10,Incorporação e empreendimentos imobiliários,294,14855,16512,12678,1864,303
26,41.2,Construção de edifícios,6329,657621,724510,589361,58278,9276
27,41.20,Construção de edifícios,6329,657621,724510,589361,58278,9276
28,42,Obras de infraestrutura,2576,644587,707740,571505,68746,4187
29,42.1,"Construção de rodovias, ferrovias, obras urbanas e obras de arte especiais",1034,265267,295516,228271,35114,1830
30,42.11,Construção de rodovias e ferrovias,675,181058,202963,155707,24104,1224
31,42.12,Construção de obras de arte especiais,61,38244,44297,36298,1803,137
32,42.13,"Obras de urbanização - ruas, praças e calçadas",298,45965,48256,36266,9207,469
33,42.2,"Obras de infraestrutura para energia elétrica, telecomunicações, água, esgoto e transporte por dutos",745,228227,247830,211599,15438,1155
34,42.21,Obras para geração e distribuição de energia elétrica e para telecomunicações,480,185751,201767,172257,12743,731
35,42.22,"Construção de redes de abastecimento de água, coleta de esgoto e construções correlatas",239,34837,37320,32368,2073,382
36,42.23,"Construção de redes de transportes por dutos, exceto para água e esgoto",26,7639,8743,6974,622,42
37,42.9,Construção de outras obras de infraestrutura,797,151093,164394,131635,18194,1202
38,42.91,"Obras portuárias, marítimas e fluviais",34,7553,7733,6835,642,74
39,42.92,Montagem de instalações industriais e de estruturas metálicas,262,75216,80090,64912,9922,364
40,42.99,Obras de engenharia civil não especificadas anteriormente,501,68324,76571,59888,7630,764
41,43,Serviços especializados para construção,3898,388459,404801,346878,35467,5743
42,43.1,Demolição e preparação do terreno,499,47398,51951,40803,5781,767
43,43.11,Demolição e preparação de canteiros de obras,49,5820,6251,4677,1070,65
44,43.12,Perfurações e sondagens,57,5702,6309,4803,801,89
45,43.13,Obras de terraplenagem,373,34316,37603,30198,3499,589
46,43.19,Serviços de preparação do terreno não especificados anteriormente,20,1560,1788,1125,411,24
47,43.2,"Instalações elétricas, hidráulicas e outras instalações em construções",1227,152978,154403,136637,14340,1886
48,43.21,Instalações elétricas,677,82551,81606,75272,6229,1001
49,43.22,"Instalações hidráulicas, de sistemas de ventilação e refrigeração",382,41581,42430,35944,4976,609
50,43.29,Obras de instalações em construções não especificadas anteriormente,168,28846,30367,25421,3135,276
51,43.3,Obras de acabamento,815,60482,61608,56174,3069,1162
52,43.30,Obras de acabamento,815,60482,61608,56174,3069,1162
53,43.9,Outros serviços especializados para construção,1357,127601,136839,113264,12277,1928
54,43.91,Obras de fundações,225,20680,23200,18163,2143,356
55,43.99,Serviços especializados para construção não especificados anteriormente,1132,106921,113639,95101,10134,1572
