,"Códigos
da 
CNAE
2.0","Divisões, grupos
e 
classes de atividades","Ativo imobilizado Baixas Número
de
informantes",Ativo imobilizado Baixas Total 1 000 R$,"Ativo imobilizado Baixas Terrenos
e
edificações 1 000 R$","Ativo imobilizado Baixas Máquinas
e
equipamentos 1 000 R$","Ativo imobilizado Baixas Meios
de
transporte 1 000 R$","Ativo imobilizado Baixas Outras
baixas 1 000 R$"
4,,Total das empresas,7792,4367539,1100676,1708919,1010668,547272
5,,Empresas de 1 a 4 pessoas ocupadas,2489,193982,74704,40314,60980,17984
6,41,Construção de edifícios,1070,100039,62816,668,34700,1854
7,42,Obras de infraestrutura,55,12266,7417,2698,2101,50
8,43,Serviços especializados para construção,1364,81677,4471,36948,24179,16080
9,,Empresas de 5 a 29 pessoas ocupadas,2846,889434,546463,102293,130522,110154
10,41,Construção de edifícios,1557,687279,539485,8187,51624,87983
11,41.1,Incorporação e empreendimentos imobiliários,163,21285,18565,565,1478,677
12,41.2,Construção de edifícios,1394,665994,520920,7622,50146,87306
13,42,Obras de infraestrutura,266,22609,462,10813,11022,311
14,42.1,"Construção de rodovias, ferrovias, obras urbanas e obras de arte especiais",128,13870,-,7223,6630,17
15,42.2,"Obras de infraestrutura para energia elétrica, telecomunicações, água, esgoto e transporte por dutos",106,6577,132,3585,2595,264
16,42.9,Construção de outras obras de infraestrutura,32,2162,330,5,1797,30
17,43,Serviços especializados para construção,1023,179546,6516,83293,67876,21860
18,43.1,Demolição e preparação do terreno,316,107907,280,48468,57510,1648
19,43.2,"Instalações elétricas, hidráulicas e outras instalações em construções",227,27847,5184,3929,3290,15444
20,43.3,Obras de acabamento,141,5452,-,660,79,4713
21,43.9,Outros serviços especializados para construções,339,38340,1052,30236,6997,55
22,,Empresas com 30 ou mais pessoas ocupadas,2457,3284123,479509,1566312,819166,419134
23,41,Construção de edifícios,1148,758733,264006,194494,139108,161124
24,41.1,Incorporação e empreendimentos imobiliários,44,60445,49152,6292,2978,2023
25,41.10,Incorporação e empreendimentos imobiliários,44,60445,49152,6292,2978,2023
26,41.2,Construção de edifícios,1104,698288,214854,188202,136130,159101
27,41.20,Construção de edifícios,1104,698288,214854,188202,136130,159101
28,42,Obras de infraestrutura,760,2128294,175713,1179647,529898,243039
29,42.1,"Construção de rodovias, ferrovias, obras urbanas e obras de arte especiais",339,1415644,137721,821100,322426,134399
30,42.11,Construção de rodovias e ferrovias,249,519887,118937,230855,116074,54022
31,42.12,Construção de obras de arte especiais,20,849764,7701,569251,193806,79007
32,42.13,"Obras de urbanização - ruas, praças e calçadas",70,45993,11083,20994,12546,1370
33,42.2,"Obras de infraestrutura para energia elétrica, telecomunicações, água, esgoto e transporte por dutos",227,289266,29786,139062,75620,44797
34,42.21,Obras para geração e distribuição de energia elétrica e para telecomunicações,146,199016,16751,83560,58091,40614
35,42.22,"Construção de redes de abastecimento de água, coleta de esgoto e construções correlatas",68,63239,3955,43830,12506,2947
36,42.23,"Construção de redes de transportes por dutos, exceto para água e esgoto",13,27011,9080,11672,5023,1236
37,42.9,Construção de outras obras de infraestrutura,194,423384,8206,219485,131852,63843
38,42.91,"Obras portuárias, marítimas e fluviais",12,131385,-,98776,31516,1094
39,42.92,Montagem de instalações industriais e de estruturas metálicas,74,156794,441,62419,67197,26737
40,42.99,Obras de engenharia civil não especificadas anteriormente,108,135205,7765,58290,33139,36012
41,43,Serviços especializados para construção,549,397096,39790,192171,150160,14971
42,43.1,Demolição e preparação do terreno,124,117040,14680,78078,22389,1891
43,43.11,Demolição e preparação de canteiros de obras,11,6161,198,3911,1905,147
44,43.12,Perfurações e sondagens,13,12316,4200,3955,3210,950
45,43.13,Obras de terraplenagem,95,94307,10254,67743,15539,771
46,43.19,Serviços de preparação do terreno não especificados anteriormente,5,4256,28,2469,1735,23
47,43.2,"Instalações elétricas, hidráulicas e outras instalações em construções",180,75406,10469,15098,45163,4675
48,43.21,Instalações elétricas,97,41161,5885,3980,29179,2116
49,43.22,"Instalações hidráulicas, de sistemas de ventilação e refrigeração",57,20825,624,8659,10808,734
50,43.29,Obras de instalações em construções não especificadas anteriormente,26,13420,3960,2459,5176,1825
51,43.3,Obras de acabamento,47,7500,15,1106,4054,2325
52,43.30,Obras de acabamento,47,7500,15,1106,4054,2325
53,43.9,Outros serviços especializados para construção,198,197150,14626,97889,78554,6080
54,43.91,Obras de fundações,46,81866,3294,71692,4961,1919
55,43.99,Serviços especializados para construção não especificados anteriormente,152,115284,11332,26197,73593,4161
