,"Códigos
da 
CNAE
2.0","Divisões, grupos 
e
classes de atividades","Consumo intermediário Total
(1) 1 000 R$","Consumo intermediário Custos das obras e/ou serviços da construção Consumo
de combus-
tíveis e
lubrificantes 1 000 R$","Consumo intermediário Custos das obras e/ou serviços da construção Consumo
 de
materiais de
construção 1 000 R$","Consumo intermediário Custos das obras e/ou serviços da construção Obras e/ou serviços
contratados
com terceiros 1 000 R$","Consumo intermediário Custos das obras e/ou serviços da construção Serviços de
manutenção
e reparação
de máquinas
e equipamentos 1 000 R$"
4,,Total das empresas,158817948,6996467,67120239,30354144,6748331
5,,Empresas de 1 a 4 pessoas ocupadas,7658324,316991,3183258,848639,220531
6,41,Construção de edifícios,4939492,58199,2056409,705420,62859
7,42,Obras de infraestrutura,518407,27629,197653,36079,14656
8,43,Serviços especializados para construção,2200425,231163,929196,107140,143016
9,,Empresas de 5 a 29 pessoas ocupadas,21560215,952295,11256985,2007532,820947
10,41,Construção de edifícios,13940948,196618,7608447,1447945,414110
11,41.1,Incorporação e empreendimentos imobiliários,1813227,2290,1535,45,773
12,41.2,Construção de edifícios,12127721,194328,7606912,1447900,413337
13,42,Obras de infraestrutura,2193402,200173,1200883,196622,102890
14,42.1,"Construção de rodovias, ferrovias, obras urbanas e obras de arte especiais",1009683,109328,541595,103655,52104
15,42.2,"Obras de infraestrutura para energia elétrica, telecomunicações, água, esgoto e transporte por dutos",551186,39088,293228,35555,25743
16,42.9,Construção de outras obras de infraestrutura,632533,51757,366060,57412,25043
17,43,Serviços especializados para construção,5425865,555504,2447655,362965,303947
18,43.1,Demolição e preparação do terreno,1133098,299158,251864,131959,157504
19,43.2,"Instalações elétricas, hidráulicas e outras instalações em construções",1562059,93824,685143,63353,44397
20,43.3,Obras de acabamento,881831,26595,377741,49842,23316
21,43.9,Outros serviços especializados para construções,1848877,135927,1132907,117811,78730
22,,Empresas com 30 ou mais pessoas ocupadas,129599409,5727181,52679996,27497973,5706853
23,41,Construção de edifícios,56755853,907072,26325874,12487331,1463639
24,41.1,Incorporação e empreendimentos imobiliários,4208659,528,3333,1786,3795
25,41.10,Incorporação e empreendimentos imobiliários,4208659,528,3333,1786,3795
26,41.2,Construção de edifícios,52547194,906544,26322541,12485545,1459844
27,41.20,Construção de edifícios,52547194,906544,26322541,12485545,1459844
28,42,Obras de infraestrutura,57125944,3771852,20281507,12571558,3020344
29,42.1,"Construção de rodovias, ferrovias, obras urbanas e obras de arte especiais",28618604,2094797,10246772,6456814,1419892
30,42.11,Construção de rodovias e ferrovias,20857163,1663197,7403676,4453840,965573
31,42.12,Construção de obras de arte especiais,5296233,193693,1813968,1551594,256387
32,42.13,"Obras de urbanização - ruas, praças e calçadas",2465208,237907,1029128,451380,197932
33,42.2,"Obras de infraestrutura para energia elétrica, telecomunicações, água, esgoto e transporte por dutos",16804039,1231119,6297745,3122324,843818
34,42.21,Obras para geração e distribuição de energia elétrica e para telecomunicações,12561334,959708,4539215,2196646,618477
35,42.22,"Construção de redes de abastecimento de água, coleta de esgoto e construções correlatas",3062033,216224,1417393,513490,181527
36,42.23,"Construção de redes de transportes por dutos, exceto para água e esgoto",1180672,55187,341137,412188,43814
37,42.9,Construção de outras obras de infraestrutura,11703301,445936,3736990,2992420,756634
38,42.91,"Obras portuárias, marítimas e fluviais",1557747,109630,238559,246967,268151
39,42.92,Montagem de instalações industriais e de estruturas metálicas,5216102,115616,1352951,1865811,176260
40,42.99,Obras de engenharia civil não especificadas anteriormente,4929452,220690,2145480,879642,312223
41,43,Serviços especializados para construção,15717612,1048257,6072615,2439084,1222870
42,43.1,Demolição e preparação do terreno,3651961,504253,1243329,418568,455286
43,43.11,Demolição e preparação de canteiros de obras,319143,36713,35400,53921,40682
44,43.12,Perfurações e sondagens,303069,31923,88717,21658,31269
45,43.13,Obras de terraplenagem,2928076,413934,1088891,330632,360282
46,43.19,Serviços de preparação do terreno não especificados anteriormente,101673,21683,30321,12357,23053
47,43.2,"Instalações elétricas, hidráulicas e outras instalações em construções",5719760,213466,2132556,1076199,345526
48,43.21,Instalações elétricas,2595943,132856,978460,446018,120661
49,43.22,"Instalações hidráulicas, de sistemas de ventilação e refrigeração",1501300,34493,565864,397273,79465
50,43.29,Obras de instalações em construções não especificadas anteriormente,1622517,46117,588232,232908,145400
51,43.3,Obras de acabamento,1080286,46354,426182,298141,62573
52,43.30,Obras de acabamento,1080286,46354,426182,298141,62573
53,43.9,Outros serviços especializados para construção,5265605,284184,2270548,646176,359485
54,43.91,Obras de fundações,1107003,81150,339649,107848,128891
55,43.99,Serviços especializados para construção não especificados anteriormente,4158602,203034,1930899,538328,230594
