,"Códigos
da 
CNAE
2.0","Divisões, grupos 
e
classes de atividades","Número
de
empresas
ativas","Valor
bruto
da
produção 1 000 R$",Valor das obras e/ou serviços da construção Total 1 000 R$,"Valor das obras e/ou serviços da construção Entidades
públicas 1 000 R$","Valor das obras e/ou serviços da construção Entidades
privadas 1 000 R$"
3,,Total das empresas,131487,331430244,337949029,103495040,234453992
4,,Empresas de 1 a 4 pessoas ocupadas,67059,21321509,19439320,2860441,16578880
5,41,Construção de edifícios,23758,12264792,10085775,1323757,8762018
6,42,Obras de infraestrutura,4625,1557382,1717720,621713,1096007
7,43,Serviços especializados para construção,38676,7499335,7635825,914971,6720855
8,,Empresas de 5 a 29 pessoas ocupadas,51331,57019299,55754043,11860167,43893877
9,41,Construção de edifícios,21371,33699029,31189865,5990055,25199811
10,41.1,Incorporação e empreendimentos imobiliários,1606,4066706,44198,17044,27155
11,41.2,Construção de edifícios,19765,29632323,31145667,5973011,25172656
12,42,Obras de infraestrutura,4619,5858806,6011259,2673826,3337433
13,42.1,"Construção de rodovias, ferrovias, obras urbanas e obras de arte especiais",1506,2481563,2449198,1712818,736380
14,42.2,"Obras de infraestrutura para energia elétrica, telecomunicações, água, esgoto e transporte por dutos",1139,1490175,1600338,469142,1131196
15,42.9,Construção de outras obras de infraestrutura,1974,1887068,1961723,491866,1469857
16,43,Serviços especializados para construção,25341,17461464,18552919,3196286,15356633
17,43.1,Demolição e preparação do terreno,2707,2885318,2962914,789101,2173813
18,43.2,"Instalações elétricas, hidráulicas e outras instalações em construções",8205,5442736,5809365,670541,5138824
19,43.3,Obras de acabamento,6855,3722169,4078515,575643,3502872
20,43.9,Outros serviços especializados para construções,7574,5411241,5702125,1161001,4541124
21,,Empresas com 30 ou mais pessoas ocupadas,13097,253089436,262755666,88774432,173981235
22,41,Construção de edifícios,6623,107549160,108107170,25817079,82290091
23,41.1,Incorporação e empreendimentos imobiliários,294,7267228,47247,1663,45584
24,41.10,Incorporação e empreendimentos imobiliários,294,7267228,47247,1663,45584
25,41.2,Construção de edifícios,6329,100281932,108059923,25815416,82244507
26,41.20,Construção de edifícios,6329,100281932,108059923,25815416,82244507
27,42,Obras de infraestrutura,2576,106058945,112191411,53846385,58345026
28,42.1,"Construção de rodovias, ferrovias, obras urbanas e obras de arte especiais",1034,49322791,52368424,33224608,19143816
29,42.11,Construção de rodovias e ferrovias,675,34915162,37044701,24029579,13015122
30,42.12,Construção de obras de arte especiais,61,9200234,9749162,5326063,4423099
31,42.13,"Obras de urbanização - ruas, praças e calçadas",298,5207395,5574561,3868966,1705595
32,42.2,"Obras de infraestrutura para energia elétrica, telecomunicações, água, esgoto e transporte por dutos",745,33197692,34604603,12224101,22380502
33,42.21,Obras para geração e distribuição de energia elétrica e para telecomunicações,480,25359814,26377287,7339361,19037926
34,42.22,"Construção de redes de abastecimento de água, coleta de esgoto e construções correlatas",239,5599859,5883373,4109749,1773624
35,42.23,"Construção de redes de transportes por dutos, exceto para água e esgoto",26,2238019,2343943,774991,1568952
36,42.9,Construção de outras obras de infraestrutura,797,23538462,25218384,8397676,16820708
37,42.91,"Obras portuárias, marítimas e fluviais",34,2467194,2623469,521649,2101820
38,42.92,Montagem de instalações industriais e de estruturas metálicas,262,11255756,12097708,2738621,9359087
39,42.99,Obras de engenharia civil não especificadas anteriormente,501,9815512,10497207,5137406,5359801
40,43,Serviços especializados para construção,3898,39481331,42457085,9110968,33346118
41,43.1,Demolição e preparação do terreno,499,7778297,8343226,2140154,6203072
42,43.11,Demolição e preparação de canteiros de obras,49,931859,1068407,96548,971858
43,43.12,Perfurações e sondagens,57,691056,765184,92321,672863
44,43.13,Obras de terraplenagem,373,5927644,6270789,1889250,4381540
45,43.19,Serviços de preparação do terreno não especificados anteriormente,20,227738,238846,62035,176811
46,43.2,"Instalações elétricas, hidráulicas e outras instalações em construções",1227,14827988,16101042,3485983,12615060
47,43.21,Instalações elétricas,677,7001834,7536229,1706197,5830031
48,43.22,"Instalações hidráulicas, de sistemas de ventilação e refrigeração",382,3923383,4197755,895545,3302211
49,43.29,Obras de instalações em construções não especificadas anteriormente,168,3902771,4367058,884241,3482818
50,43.3,Obras de acabamento,815,3573545,3820216,350917,3469299
51,43.30,Obras de acabamento,815,3573545,3820216,350917,3469299
52,43.9,Outros serviços especializados para construção,1357,13301501,14192601,3133914,11058687
53,43.91,Obras de fundações,225,2697864,2898026,535215,2362811
54,43.99,Serviços especializados para construção não especificados anteriormente,1132,10603637,11294575,2598699,8695876
