,"Código
PRODLIST
Construção","Classes de atividades 
e 
descrição de produtos","Valor das incorporações, 
obras e/ou serviços
da construção
(1 000 R$)","Como contratante única ou principal Número
de
informantes","Como contratante única ou principal Valor
(1 000 R$)","Como subcontratada Número
de
informantes","Como subcontratada Valor
(1 000 R$)"
3,4222,"Construção de redes de abastecimento de água, coleta de esgoto e construções correlatas",6818301,350,6447620,42,370683
4,4222.2010 ,"Obras de irrigação (barragens, canais, etc.)",866807,12,861013,1,5794
5,4222.2020 ,Redes de distribuição de água,1002632,67,934270,9,68363
6,4222.2030 ,"Redes de esgotos, interceptores, estações de tratamento ou galerias pluviais",3558738,164,3362801,25,195937
7,4222.9010 ,Serviços de manutenção de redes de distribuição de água,282264,26,234697,4,47568
8,4222.9020 ,"Serviços de manutenção de redes de esgotos, interceptores, estações de tratamento ou galerias pluviais",1107860,81,1054839,3,53021
9,4223,"Construção de redes de transportes por duto, exceto para água e esgoto",1321799,35,1319694,1,2105
10,4223.2010 ,"Dutos (oleodutos, gasodutos, minerodutos, etc.)",1001259,25,999154,1,2105
11,4223.9010 ,"Serviços de manutenção de dutos (oleodutos, gasodutos, minerodutos, etc.)",320540,10,320540,-,-
12,4291,"Obras portuárias, marítimas e fluviais",4658204,64,4525906,2,132298
13,4291.2010 ,Dragagem e aterro hidráulico,994697,19,872032,1,122665
14,4291.2020 ,Instalação de cabos submarinos,-,-,-,-,-
15,4291.2030 ,"Obras marítimas e fluviais (portos, marinas, diques, etc.)",3396171,34,3386538,1,9633
16,4291.9010,"Serviço de manutenção de obras marítimas e fluviais (portos, marinas, diques, etc.)",267336,11,267336,-,-
17,4292,Montagem de instalações industriais e de estruturas metálicas,12007026,229,10491065,57,1515962
18,4292.2010 ,Montagem de estruturas metálicas permanentes,1942006,116,1690058,40,251949
19,4292.2020 ,Plantas de mineração,665903,5,665903,-,-
20,4292.2030 ,"Plantas e instalações industriais (tubulações, redes de facilidades, etc.)",9399117,108,8135104,17,1264013
21,4299,Obras de engenharia civil não especificadas anteriormente,11091516,544,9612436,79,1479080
22,4299.2010 ,"Quadras, piscinas, pistas de competição e outras instalações esportivas e recreativas semelhantes",100683,31,100683,1,-
23,4299.2020 ,Obras de engenharia civil não especificadas anteriormente,10009791,442,8743142,59,1266649
24,4299.9010 ,Serviços de recuperação de obras de engenharia civil não especificadas anteriormente,981042,71,768611,19,212431
25,4311,Demolição e preparação de canteiros de obras,1113349,81,1007277,13,106072
26,4311.2010 ,Demolição de edifícios e outras estruturas,581902,40,481454,6,100448
27,4311.2020 ,Preparação de canteiros de obras,296138,33,291301,5,4837
28,4311.9010 ,Serviços de aluguel e operação de equipamentos de demolição,235309,8,234522,2,787
29,4312,Perfurações e sondagens,868411,68,689892,13,178519
30,4312.2010 ,Perfurações e sondagens,868411,68,689892,13,178519
31,4313,Obras de terraplenagem,7363494,456,6707094,77,656400
32,4313.2010 ,Derrocamentos,71900,5,60548,3,11352
33,4313.2020 ,Escavação e movimentação de terras - terraplenagem,6923284,386,6334430,63,588854
34,4313.9010 ,Serviços de aluguel e operação de equipamentos de terraplenagem,368310,65,312116,11,56194
35,4319,Serviços de preparação do terreno não especificados anteriormente,381437,60,369372,8,12064
36,4319.2010 ,Drenagem,233222,45,222988,6,10233
37,4319.2020 ,Rebaixamento de lençol freático,6866,3,5673,1,1193
38,4319.2030 ,Outros tipos de preparações de terreno não especificadas anteriormente,141349,12,140711,1,638
