,"Códigos
da
CNAE
2.0","Divisões, grupos de atividades
e
faixas de pessoal ocupado","Receita
bruta
total 1 000 R$
","Receita
líquida 1 000 R$","
Valor das incorporações, obras
e/ou serviços da
construção 1 000 R$
","Consumo
intermediário 1 000 R$","Valor bruto
da
produção 1 000 R$","Valor
adicionado
(1) 1 000 R$"
4,,Total,329359144,302281289,331723941,151159622,310108735,158949115
5,,De   5 a 29,72738082,66591145,73722993,28399863,68875004,40475142
6,,De  30 a 49,25535656,23415179,25890595,11225342,24451600,13226258
7,,De  50 a 99,38159106,35099670,38757785,17335148,36421539,19086393
8,,De 100 a 249,51244842,47403102,51533355,23762309,48388519,24626210
9,,De 250 a 499,36313439,33576626,36429326,17243672,34114654,16870981
10,,Com 500 e mais,105368019,96195567,105389887,53193288,97857419,44664131
11,41,Construção de edifícios ,147673960,135992179,152434091,70696800,141248189,70551390
12,,De   5 a 29,44957033,41260838,46705645,19804315,43262650,23458335
13,,De  30 a 49,14854852,13704324,15425329,7262375,14515578,7253203
14,,De  50 a 99,21503660,19879535,21859365,10255161,20421276,10166115
15,,De 100 a 249,24576048,22977322,25440373,12442518,23922501,11479984
16,,De 250 a 499,15792187,14784180,15813598,7793760,14841035,7047275
17,,Com 500 e mais,25990180,23385980,27189781,13138671,24285149,11146478
18,41.1,"Incorporação de empreendimentos
imobiliários",13212970,11891302,12843902,6021885,11333934,5312049
19,,De   5 a 29,8047406,7183246,7715393,3423330,6719895,3296565
20,,De  30 a 49,1320310,1214346,1322107,635288,1246974,611686
21,,De  50 a 99,2282285,2002025,2276923,1118791,1918968,800177
22,,De 100 a 249,613064,558159,579574,328143,550897,222754
23,,De 250 a 499,x,x,x,x,x,x
24,,Com 500 e mais,x,x,x,x,x,x
25,41.2,Construção de edifícios,134460990,124100877,139590189,64674915,129914255,65239341
26,,De   5 a 29,36909627,34077592,38990252,16380985,36542755,20161770
27,,De  30 a 49,13534542,12489978,14103222,6627087,13268604,6641517
28,,De  50 a 99,19221375,17877510,19582442,9136370,18502308,9365938
29,,De 100 a 249,23962984,22419163,24860799,12114375,23371604,11257230
30,,De 250 a 499,14894085,13900390,14915496,7301984,13993571,6691587
31,,Com 500 e mais,25938377,23336244,27137978,13114114,24235413,11121299
32,42,Obras de infraestrutura,119850881,110357773,118244402,59319347,111917750,52598406
33,,De   5 a 29,7402751,6852394,7179058,2698393,6971562,4273170
34,,De  30 a 49,4332479,3973950,4213678,1779433,4027559,2248126
35,,De  50 a 99,8384461,7684019,8641047,4088052,8185796,4097745
36,,De 100 a 249,16879942,15513448,16247309,7589722,15280491,7690769
37,,De 250 a 499,15257561,14044775,15508048,7542951,14531431,6988480
38,,Com 500 e mais,67593687,62289187,66455262,35620796,62920911,27300116
39,42.1,"Construção de rodovias, ferrovias,
obras urbanas e obras de arte",54980925,50681734,54840708,29628288,51804353,22176066
40,,De   5 a 29,2993602,2804469,2841042,1182379,2846644,1664266
41,,De  30 a 49,1634248,1506725,1611941,747531,1569888,822357
42,,De  50 a 99,3616872,3312262,3445082,1560800,3263859,1703059
43,,De 100 a 249,8664048,7965010,8386425,3953961,7939874,3985913
44,,De 250 a 499,8166068,7484488,8309832,4452845,7783430,3330585
45,,Com 500 e mais,29906087,27608780,30246386,17730772,28400658,10669886
